string,int,int,int,,,string,,,,,string,string,string,float,float,float,,,int,float,float,float,float,int,int,int,int,int,int,int,int[3],int[3],int,int,,int,float,int,int;int,rate;rate,,,,rate,,,,,int,int,int,int,int,int,int,rate,int,rate,int,,int,,,,,,,,,,,,,,,bool,,
林仙子【灵兽仙子】,28,21,2,,1,task/shopnpc/conjure_01.html,pic_f_icon04,"1070,2045,60;",镜花村,功能,6070;6071;6074;6075;6078;6079;6082;6083,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11041,11040,,,,,,,,,,pic_n021,pic_n021_b,0,,,1,0,,
鲁忠【生活技能】,29,41,2,,1,task/shopnpc/liveShop_01.html,pic_f_icon05,"1035,1000,160;",镜花村,补给,6101;6102;6103;7351;7352;7353;7354;7355;7356;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;11001;11201;11202;11203;11204;11205,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n041,pic_n041_b,0,,,1,0,,
王烈,30,31,2,,,task/npc/task_n019.html,,"-740,6290,0;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n031,pic_n031_b,0,,,1,0,,
店小二,31,63,2,,,task/npc/task_n031.html,,"4825,10645,255;",蜀郡,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10082,10081,,,,,,,,,,pic_n063,pic_n063_b,0,,,1,0,,
石头,32,71,2,,,task/npc/task_n032.html,,"1225,1335,114;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11122;11035,11121;11034;11036,,,,,,,,,,pic_n026,pic_n026_b,0,,,1,0,,
粱福贵【杂食铺】,33,38,2,,1,task/npc/task_n033.html,,"-2755,5170,113;",铁峰岭,其他,6052;6053;6056;6057;5207,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11104;11105;11107;11109;11129;16019,11103;11104;11106;11109;16018,,,,,,,,,,pic_n038,pic_n038_b,0,,,1,0,,
守卫,34,30,2,,,task/npc/task_n018.html,,"-500,7175,0;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
守卫,35,30,2,,,task/npc/task_n018.html,,"-495,6225,0;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
守卫,36,30,2,,,task/npc/task_n018.html,,"-495,6395,0;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
吴二梁【杂食铺】,37,38,2,,1,task/shopnpc/zawu_02.html,pic_f_icon14,"2760,11180,62;",蜀郡,补给,6052;6053;6056;6057;6058;6059,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n038,pic_n038_b,0,,,1,0,,
杜玉铃【花间接引人】,38,54,2,,,task/npc/task_n038.html,pic_f_icon08,"5110,10970,64;",蜀郡,功能,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10083;10084,10082;10083,,,,,,,,,,pic_n055,pic_n055_b,0,,,1,0,,
吴青云【蜀山接引人】,39,53,2,,,task/npc/task_n039.html,pic_f_icon08,"5710,10205,226;",蜀郡,功能,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10085,10084,,,,,,,,,,pic_n053,pic_n053_b,0,,,1,0,,
陆巽,40,31,2,,,task/npc/task_n040.html,,"5920,13475,63;",蜀郡,其他,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11210;10089;10101;10110;10124,11209;10088;10093;10109;10123,,,,,,,,,,pic_n031,pic_n031_b,0,,,1,0,,
向善,41,205,2,,,task/npc/task_n041.html,,"-1795,14585,63;",花雨陵,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10086;10087;10088,10085;10086;10087,,,,,,,,,,pic_n036,pic_n036_b,0,,,1,0,,
北川商会朱贯全,42,22,2,,,task/npc/task_n042.html,,"2665,11005,190;",蜀郡,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,12019;12024;12026;12043;10102;10123,12018;12023;12025;12026;12042;12045;11579;10101;10122,,,,,,,,,,pic_n022,pic_n022_b,0,,,1,0,,
姜雪君,43,204,2,,,task/npc/task_n043.html,,"3805,14010,8;",蜀郡,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10106,10105,,,,,,,,,,pic_n055,pic_n055_b,0,,,1,0,,
顾海天,44,38,2,,,task/npc/task_n044.html,,"5140,11780,255;",蜀郡,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10125,10124,,,,,,,,,,pic_n038,pic_n038_b,0,,,1,0,,
告示牌,45,73,2,,,task/npc/task_n045.html,,"5300,12300,63;",蜀郡,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10130,10125,,,,,,,,,,pic_mon_kuang02,pic_nty_b,0,,,1,0,,
药农夏老伯,46,62,2,,,task/npc/task_n046.html,,"5610,16220,128;",蜀郡郊外,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10103,10102,,,,,,,,,,pic_n036,pic_n036_b,0,,,1,0,,
小娃娃,47,72,2,,,task/npc/task_n047.html,,"1920,23640,114;",蜀郡郊外,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10104,10103,,,,,,,,,,pic_n026,pic_n026_b,0,,,1,0,,
夏青青,48,25,2,,,task/npc/task_n048.html,,"10400,22320,64;",蜀郡郊外,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10121;10122,10104;10120;10121,,,,,,,,,,pic_n025,pic_n025_b,0,,,1,0,,
胡老太,49,65,2,,,task/npc/task_n049.html,,"-16325,12865,54;",玉凌雪域,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,12063;12064;11531;11532;10111;10112;10113,12062;12063;12086;11530;11531;10110;10111;10112,,,,,,,,,,pic_n065,pic_n065_b,0,,,1,0,,
荀兰因,50,55,2,,,task/npc/task_n050.html,,"-21855,6420,44;",云隐谷,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10115,10114,,,,,,,,,,pic_n054,pic_n054_b,0,,,1,0,,
齐漱溟,51,58,2,,,task/npc/task_n051.html,,"-21810,6365,229;",云隐谷,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10114,10113,,,,,,,,,,pic_n058,pic_n058_b,0,,,1,0,,
夜叉明王混元子,52,220,2,,,task/npc/task_n052.html,,"-18460,19325,63;",两仪极地,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,14015;14265;14515;14765;10116;10120,14014;14264;14514;14764;10115;10119,,,,,,,,,,pic_n106,pic_n106_b,0,,,1,0,,
彩岩,53,5003,2,,,task/npc/task_n053.html,,"-15635,22215,61;",两仪极地,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10117,10116,,,,,,,,,,pic_mon_kuang02,pic_nty_b,0,,,1,0,,
呼救者,54,209,2,,,task/npc/task_n054.html,,"-15035,23430,125;",两仪极地,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10118;10119,10117;10118,,,,,,,,,,pic_mon144d,pic_nty_b,0,,,1,0,,
吕敬【郡守】,55,43,2,,,task/npc/task_n055.html,,"2010,13720,62;",蜀郡,功能,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11204;11205;11209;11229;12044,11201;11208;11220;11228;12043,,,,,,,,,,pic_n043,pic_n043_b,0,,,1,0,,
管家薛三,56,42,2,,,task/npc/task_n056.html,,"1465,13480,128;",蜀郡,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11206;11227,11205;11226,,,,,,,,,,pic_n042,pic_n042_b,0,,,1,0,,
铁五【武器铺】,57,35,2,,1;6,task/shopnpc/wuqi_02.html,pic_f_icon01,"2180,10880,128;",蜀郡,补给,2;22;42;62;82;102;122;142;3;23;43;63;83;103;123;143;4;24;44;64;84;104;124;144;7501;7502;7503,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n023,pic_n023_b,0,,,1,0,,
锦娘【服饰铺】,58,25,2,,1;6,task/shopnpc/yifu_02.html,pic_f_icon02,"2205,11310,44;",蜀郡,补给,2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;2003;2023;2043;2063;2203;2223;2243;2263;2403;2423;2443;2463;2603;2623;2643;2663;2004;2024;2044;2064;2204;2224;2244;2264;2404;2424;2444;2464;2604;2624;2644;2664;7601;7602;7603,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n025,pic_n025_b,0,,,1,0,,
苏秀儿【灵兽仙子】,59,21,2,,1,task/shopnpc/conjure_02.html,pic_f_icon04,"3015,10230,255;",蜀郡,补给,6070;6071;6072;6074;6075;6076;6078;6079;6080;6082;6083;6084,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n021,pic_n021_b,0,,,1,0,,
黄妙手【药铺】,60,36,2,,1,task/shopnpc/yaowu_02.html,pic_f_icon03,"1660,9140,190;",蜀郡,补给,6001;6002;7701;7702;7703,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n036,pic_n036_b,0,,,1,0,,
王玉凤【钱庄】,61,39,2,,5,task/shopnpc/qianzhuang_02.html,pic_f_icon09,"3060,10740,64;",蜀郡,功能,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n039,pic_n039_b,0,,,1,0,,
南门守卫,62,30,2,,,task/npc/task_n062.html,,,,,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
西门守卫,63,30,2,,,task/npc/task_n063.html,,,,,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
东门守卫,64,30,2,,,task/npc/task_n064.html,,,,,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
北门守卫,65,30,2,,,task/npc/task_n065.html,,,,,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
郡府守卫,66,30,2,,,task/npc/task_n066.html,,,,,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
郡府守卫,67,30,2,,,task/npc/task_n066.html,,,,,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
舍空住持,68,45,2,,,task/npc/task_n068.html,,"-1920,15030,63;",花雨陵,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11921;11941;11966;11978;12317;12319;16027,11920;11922;11940;11965;11977;12316;12318;16026,,,,,,,,,,pic_n045,pic_n045_b,0,,,1,0,,
月云兔露沁,69,339,2,,,task/npc/task_n069.html,,"-4550,14140,180;",花雨陵,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11928;11929;11930;11934;11935;11996;11997,11927;11928;11929;11933;11934;11996,,,,,,,,,,pic_mon039,pic_nty_b,0,,,1,0,,
明婆婆,70,65,2,,,task/npc/task_n070.html,,"-4860,15855,88;",花雨陵,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11937;11938;11939;11943;11944;11947;11958;11963;12336;16035,11937;11938;11942;11946;11957;11959;11963;16034,,,,,,,,,,pic_n065,pic_n065_b,0,,,1,0,,
