ID,所在场景ID,怪物名字,怪物ID,怪物数量,重生地点,重生周期(秒),阵营ID,首领,重生开始时间,重生结束时间,重生概率,胆量,团结,忠诚,愤怒1,愤怒2,备注,
95,1,玄峰,328,1,sys_4_14,20,0,0,0,24,1,1,1,1,30,70,,
96,1,玄峰,328,1,sys_4_15,20,0,0,0,24,1,1,1,1,30,70,,
97,1,玄峰,328,0,sys_4_16,20,0,0,0,24,1,1,1,1,30,70,,
98,1,玄峰,328,1,sys_4_17,20,0,0,0,24,1,1,1,1,30,70,,
99,1,玄峰,328,0,sys_4_18,20,0,0,0,24,1,1,1,1,30,70,,
100,1,玄峰,328,0,sys_4_19,20,0,0,0,24,1,1,1,1,30,70,,
101,1,玄峰,328,0,sys_4_20,20,0,0,0,24,1,1,1,1,30,70,,
102,1,玄峰,328,0,sys_4_21,20,0,0,0,24,1,1,1,1,30,70,,
103,1,玄峰,328,2,sys_4_22,20,0,0,0,24,1,1,1,1,30,70,,
104,1,玄峰,328,1,sys_4_23,20,0,0,0,24,1,1,1,1,30,70,,
105,1,玄峰,328,2,sys_4_24,20,0,0,0,24,1,1,1,1,30,70,,
106,1,玄峰,328,1,sys_4_25,20,0,0,0,24,1,1,1,1,30,70,,
107,1,玄峰,328,0,sys_4_26,20,0,0,0,24,1,1,1,1,30,70,,
108,1,玄峰,328,0,sys_4_27,20,0,0,0,24,1,1,1,1,30,70,,
109,1,玄峰,328,0,sys_4_28,20,0,0,0,24,1,1,1,1,30,70,,
110,1,玄峰,328,0,sys_4_29,20,0,0,0,24,1,1,1,1,30,70,,
111,1,玄峰,328,0,sys_4_30,20,0,0,0,24,1,1,1,1,30,70,,
112,1,玄峰,328,0,sys_4_31,20,0,0,0,24,1,1,1,1,30,70,,
113,1,刀客山贼,331,0,sys_4_32,20,0,0,0,24,1,1,1,1,30,70,,
114,1,刀客山贼,331,1,sys_4_33,20,0,0,0,24,1,1,1,1,30,70,,
115,1,刀客山贼,331,0,sys_4_34,20,0,0,0,24,1,1,1,1,30,70,,
116,1,刀客山贼,331,0,sys_4_35,20,0,0,0,24,1,1,1,1,30,70,,
117,1,刀客山贼,331,0,sys_4_36,20,0,0,0,24,1,1,1,1,30,70,,
118,1,刀客山贼,331,0,sys_4_37,20,0,0,0,24,1,1,1,1,30,70,,
119,1,刀客山贼,331,1,sys_4_38,20,0,0,0,24,1,1,1,1,30,70,,
120,1,刀客山贼,331,1,sys_4_39,20,0,0,0,24,1,1,1,1,30,70,,
121,1,刀客山贼,331,1,sys_4_40,20,0,0,0,24,1,1,1,1,30,70,,
122,1,刀客山贼,331,1,sys_4_41,20,0,0,0,24,1,1,1,1,30,70,,
123,1,刀客山贼,331,1,sys_4_42,20,0,0,0,24,1,1,1,1,30,70,,
124,1,刀客山贼,331,0,sys_4_43,20,0,0,0,24,1,1,1,1,30,70,,
125,1,刀客山贼,331,1,sys_4_44,20,0,0,0,24,1,1,1,1,30,70,,
126,1,刀客山贼,331,0,sys_4_45,20,0,0,0,24,1,1,1,1,30,70,,
127,1,刀客山贼,331,0,sys_4_46,20,0,0,0,24,1,1,1,1,30,70,,
128,1,刀客山贼,331,0,sys_4_47,20,0,0,0,24,1,1,1,1,30,70,,
129,1,刀客山贼,331,0,sys_4_48,20,0,0,0,24,1,1,1,1,30,70,,
130,1,刀客山贼,331,0,sys_4_49,20,0,0,0,24,1,1,1,1,30,70,,
131,1,刀客山贼,331,0,sys_4_50,20,0,0,0,24,1,1,1,1,30,70,,
132,1,刀客山贼,331,1,sys_4_51,20,0,0,0,24,1,1,1,1,30,70,,
133,1,刀客山贼,331,1,sys_4_52,20,0,0,0,24,1,1,1,1,30,70,,
134,1,刀客山贼,331,1,sys_4_53,20,0,0,0,24,1,1,1,1,30,70,,
135,1,刀客山贼,331,0,sys_4_54,20,0,0,0,24,1,1,1,1,30,70,,
136,1,刀客山贼,331,0,sys_4_55,20,0,0,0,24,1,1,1,1,30,70,,
137,1,蚀骨鱼,330,1,sys_4_56,20,0,0,0,24,1,1,1,1,30,70,,
138,1,蚀骨鱼,330,1,sys_4_57,20,0,0,0,24,1,1,1,1,30,70,,
139,1,蚀骨鱼,330,0,sys_4_58,20,0,0,0,24,1,1,1,1,30,70,,
140,1,蚀骨鱼,330,1,sys_4_59,20,0,0,0,24,1,1,1,1,30,70,,
141,1,蚀骨鱼,330,1,sys_4_60,20,0,0,0,24,1,1,1,1,30,70,,
142,1,蚀骨鱼,330,1,sys_4_61,20,0,0,0,24,1,1,1,1,30,70,,
143,1,蚀骨鱼,330,1,sys_4_62,20,0,0,0,24,1,1,1,1,30,70,,
144,1,蚀骨鱼,330,1,sys_4_63,20,0,0,0,24,1,1,1,1,30,70,,
145,1,蚀骨鱼,330,1,sys_4_64,20,0,0,0,24,1,1,1,1,30,70,,
146,1,蚀骨鱼,330,0,sys_4_65,20,0,0,0,24,1,1,1,1,30,70,,
147,1,刀客山贼头领,333,1,sys_4_66,20,0,0,0,24,1,1,1,1,30,70,,
148,1,刀客山贼头领,333,1,sys_4_67,20,0,0,0,24,1,1,1,1,30,70,,
149,1,刀客山贼头领,333,0,sys_4_68,20,0,0,0,24,1,1,1,1,30,70,,
150,1,刀客山贼头领,333,1,sys_4_69,20,0,0,0,24,1,1,1,1,30,70,,
151,1,刀客山贼头领,333,0,sys_4_70,20,0,0,0,24,1,1,1,1,30,70,,
152,1,刀客山贼头领,333,1,sys_4_71,20,0,0,0,24,1,1,1,1,30,70,,
153,1,刀客山贼头领,333,1,sys_4_72,20,0,0,0,24,1,1,1,1,30,70,,
154,1,刀客山贼头领,333,1,sys_4_73,20,0,0,0,24,1,1,1,1,30,70,,
155,1,刀客山贼头领,333,0,sys_4_74,20,0,0,0,24,1,1,1,1,30,70,,
156,1,刀客山贼头领,333,0,sys_4_75,20,0,0,0,24,1,1,1,1,30,70,,
157,1,刀客山贼头领,333,1,sys_4_76,20,0,0,0,24,1,1,1,1,30,70,,
158,1,刀客山贼头领,333,1,sys_4_77,20,0,0,0,24,1,1,1,1,30,70,,
159,1,刀客山贼头领,333,0,sys_4_78,20,0,0,0,24,1,1,1,1,30,70,,
160,1,刀客山贼头领,333,1,sys_4_79,20,0,0,0,24,1,1,1,1,30,70,,
161,1,刀客山贼头领,333,1,sys_4_80,20,0,0,0,24,1,1,1,1,30,70,,
162,1,刀客山贼头领,333,1,sys_4_81,20,0,0,0,24,1,1,1,1,30,70,,
163,1,刀客山贼头领,333,1,sys_4_82,20,0,0,0,24,1,1,1,1,30,70,,
164,1,刀客山贼头领,333,0,sys_4_83,20,0,0,0,24,1,1,1,1,30,70,,
165,1,刀客山贼头领,333,1,sys_4_84,20,0,0,0,24,1,1,1,1,30,70,,
166,1,刀客山贼头领,333,0,sys_4_85,20,0,0,0,24,1,1,1,1,30,70,,
167,1,刀客山贼头领,333,1,sys_4_86,20,0,0,0,24,1,1,1,1,30,70,,
168,1,刀客山贼头领,333,0,sys_4_87,20,0,0,0,24,1,1,1,1,30,70,,
169,1,刀客山贼头领,333,1,sys_4_88,20,0,0,0,24,1,1,1,1,30,70,,
170,1,刀客山贼头领,333,0,sys_4_89,20,0,0,0,24,1,1,1,1,30,70,,
171,1,刀客山贼头领,333,1,sys_4_90,20,0,0,0,24,1,1,1,1,30,70,,
172,1,刀客山贼头领,333,0,sys_4_91,20,0,0,0,24,1,1,1,1,30,70,,
173,1,刀客山贼头领,333,1,sys_4_92,20,0,0,0,24,1,1,1,1,30,70,,
174,1,刀客山贼,331,0,sys_4_93,20,0,0,0,24,1,1,1,1,30,70,,
175,1,刀客山贼,331,0,sys_4_94,20,0,0,0,24,1,1,1,1,30,70,,
176,1,刀客山贼,331,0,sys_4_95,20,0,0,0,24,1,1,1,1,30,70,,
177,1,刀客山贼,331,0,sys_4_96,20,0,0,0,24,1,1,1,1,30,70,,
178,1,刀客山贼,331,0,sys_4_97,20,0,0,0,24,1,1,1,1,30,70,,
179,1,刀客山贼,331,0,sys_4_98,20,0,0,0,24,1,1,1,1,30,70,,
180,1,刀客山贼,331,1,sys_4_99,20,0,0,0,24,1,1,1,1,30,70,,
181,1,刀客山贼,331,0,sys_4_100,20,0,0,0,24,1,1,1,1,30,70,,
182,1,刀客山贼,331,1,sys_4_101,20,0,0,0,24,1,1,1,1,30,70,,
183,1,刀客山贼,331,0,sys_4_102,20,0,0,0,24,1,1,1,1,30,70,,
184,1,刀客山贼,331,1,sys_4_103,20,0,0,0,24,1,1,1,1,30,70,,
185,1,刀客山贼,331,0,sys_4_104,20,0,0,0,24,1,1,1,1,30,70,,
186,1,刀客山贼,331,0,sys_4_105,20,0,0,0,24,1,1,1,1,30,70,,
187,1,刀客山贼,331,0,sys_4_106,20,0,0,0,24,1,1,1,1,30,70,,
188,1,刀客山贼,331,1,sys_4_107,20,0,0,0,24,1,1,1,1,30,70,,
189,1,刀客山贼,331,0,sys_4_108,20,0,0,0,24,1,1,1,1,30,70,,
190,1,刀客山贼,331,1,sys_4_109,20,0,0,0,24,1,1,1,1,30,70,,
191,1,刀客山贼,331,1,sys_4_110,20,0,0,0,24,1,1,1,1,30,70,,
192,1,刀客山贼,331,1,sys_4_111,20,0,0,0,24,1,1,1,1,30,70,,
193,1,刀客山贼,331,0,sys_4_112,20,0,0,0,24,1,1,1,1,30,70,,
194,1,刀客山贼,331,0,sys_4_113,20,0,0,0,24,1,1,1,1,30,70,,
195,1,刀客山贼,331,0,sys_4_114,20,0,0,0,24,1,1,1,1,30,70,,
196,1,刀客山贼,331,1,sys_4_115,20,0,0,0,24,1,1,1,1,30,70,,
197,1,刀客山贼,331,1,sys_4_116,20,0,0,0,24,1,1,1,1,30,70,,
198,1,刀客山贼,331,1,sys_4_117,20,0,0,0,24,1,1,1,1,30,70,,
199,1,刀客山贼,331,0,sys_4_118,20,0,0,0,24,1,1,1,1,30,70,,
200,1,刀客山贼,331,0,sys_4_119,20,0,0,0,24,1,1,1,1,30,70,,
201,1,刀客山贼,331,1,sys_4_120,20,0,0,0,24,1,1,1,1,30,70,,
202,1,刀客山贼,331,0,sys_4_121,20,0,0,0,24,1,1,1,1,30,70,,
203,1,刀客山贼,331,0,sys_4_122,20,0,0,0,24,1,1,1,1,30,70,,
204,1,刀客山贼,331,1,sys_4_123,20,0,0,0,24,1,1,1,1,30,70,,
205,1,刀客山贼,331,0,sys_4_124,20,0,0,0,24,1,1,1,1,30,70,,
206,1,刀客山贼,331,1,sys_4_125,20,0,0,0,24,1,1,1,1,30,70,,
207,1,刀客山贼,331,0,sys_4_126,20,0,0,0,24,1,1,1,1,30,70,,
208,1,刀客山贼,331,0,sys_4_127,20,0,0,0,24,1,1,1,1,30,70,,
209,1,刀客山贼,331,1,sys_4_128,20,0,0,0,24,1,1,1,1,30,70,,
210,1,月云兔长棍手,335,1,sys_4_129,20,0,0,0,24,1,1,1,1,30,70,,
211,1,月云兔长棍手,335,3,sys_4_130,20,0,0,0,24,1,1,1,1,30,70,,
212,1,月云兔长棍手,335,1,sys_4_131,20,0,0,0,24,1,1,1,1,30,70,,
213,1,月云兔长棍手,335,1,sys_4_132,20,0,0,0,24,1,1,1,1,30,70,,
214,1,月云兔长棍手,335,1,sys_4_133,20,0,0,0,24,1,1,1,1,30,70,,
215,1,月云兔长棍手,335,0,sys_4_134,20,0,0,0,24,1,1,1,1,30,70,,
216,1,月云兔长棍手,335,0,sys_4_135,20,0,0,0,24,1,1,1,1,30,70,,
217,1,月云兔长棍手,337,3,sys_4_136,20,0,0,0,24,1,1,1,1,30,70,,
218,1,月云兔长棍手,337,1,sys_4_137,20,0,0,0,24,1,1,1,1,30,70,,
219,1,月云兔长棍手,337,1,sys_4_138,20,0,0,0,24,1,1,1,1,30,70,,
220,1,月云兔长棍手,337,0,sys_4_139,20,0,0,0,24,1,1,1,1,30,70,,
221,1,月云兔长棍手,337,2,sys_4_140,20,0,0,0,24,1,1,1,1,30,70,,
222,1,月云兔长棍手,337,0,sys_4_141,20,0,0,0,24,1,1,1,1,30,70,,
223,1,月云兔长棍手,337,2,sys_4_142,20,0,0,0,24,1,1,1,1,30,70,,
224,1,月云兔长棍手,337,1,sys_4_143,20,0,0,0,24,1,1,1,1,30,70,,
225,1,月云兔长棍手,337,4,sys_4_144,20,0,0,0,24,1,1,1,1,30,70,,
226,1,月云兔长棍手,337,0,sys_4_145,20,0,0,0,24,1,1,1,1,30,70,,
227,1,月云兔长棍手,337,0,sys_4_146,20,0,0,0,24,1,1,1,1,30,70,,
228,1,月云兔长棍手,335,0,sys_4_147,20,0,0,0,24,1,1,1,1,30,70,,
229,1,月云兔长棍手,335,1,sys_4_148,20,0,0,0,24,1,1,1,1,30,70,,
230,1,月云兔长棍手,335,0,sys_4_149,20,0,0,0,24,1,1,1,1,30,70,,
231,1,月云兔长棍手,335,1,sys_4_150,20,0,0,0,24,1,1,1,1,30,70,,
232,1,月云兔长棍手,335,1,sys_4_151,20,0,0,0,24,1,1,1,1,30,70,,
233,1,月云兔长棍手,337,2,sys_4_152,20,0,0,0,24,1,1,1,1,30,70,,
234,1,月云兔长棍手,335,2,sys_4_153,20,0,0,0,24,1,1,1,1,30,70,,
235,1,月云兔长棍手,335,0,sys_4_154,20,0,0,0,24,1,1,1,1,30,70,,
236,1,月云兔长棍手,335,1,sys_4_155,20,0,0,0,24,1,1,1,1,30,70,,
237,1,幼年狼妖,339,1,sys_4_156,20,0,0,0,24,1,1,1,1,30,70,,
238,1,幼年狼妖,339,1,sys_4_157,20,0,0,0,24,1,1,1,1,30,70,,
239,1,幼年狼妖,339,0,sys_4_158,20,0,0,0,24,1,1,1,1,30,70,,
240,1,幼年狼妖,339,1,sys_4_159,20,0,0,0,24,1,1,1,1,30,70,,
241,1,幼年狼妖,339,0,sys_4_160,20,0,0,0,24,1,1,1,1,30,70,,
242,1,幼年狼妖,339,1,sys_4_161,20,0,0,0,24,1,1,1,1,30,70,,
243,1,幼年狼妖,339,0,sys_4_162,20,0,0,0,24,1,1,1,1,30,70,,
244,1,幼年狼妖,339,1,sys_4_163,20,0,0,0,24,1,1,1,1,30,70,,
245,1,幼年狼妖,339,0,sys_4_164,20,0,0,0,24,1,1,1,1,30,70,,
246,1,幼年狼妖,339,1,sys_4_165,20,0,0,0,24,1,1,1,1,30,70,,
247,1,幼年狼妖,339,1,sys_4_166,20,0,0,0,24,1,1,1,1,30,70,,
248,1,幼年狼妖,339,0,sys_4_167,20,0,0,0,24,1,1,1,1,30,70,,
249,1,幼年狼妖,339,1,sys_4_168,20,0,0,0,24,1,1,1,1,30,70,,
250,1,幼年狼妖,339,0,sys_4_169,20,0,0,0,24,1,1,1,1,30,70,,
251,1,幼年狼妖,339,1,sys_4_170,20,0,0,0,24,1,1,1,1,30,70,,
252,1,幼年狼妖,339,1,sys_4_171,20,0,0,0,24,1,1,1,1,30,70,,
253,1,幼年狼妖,339,0,sys_4_172,20,0,0,0,24,1,1,1,1,30,70,,
254,1,幼年狼妖,339,1,sys_4_173,20,0,0,0,24,1,1,1,1,30,70,,
255,1,幼年狼妖,339,0,sys_4_174,20,0,0,0,24,1,1,1,1,30,70,,
256,1,幼年狼妖,339,1,sys_4_175,20,0,0,0,24,1,1,1,1,30,70,,
257,1,幼年狼妖,339,0,sys_4_176,20,0,0,0,24,1,1,1,1,30,70,,
258,1,幼年狼妖,341,1,sys_4_177,20,0,0,0,24,1,1,1,1,30,70,,
259,1,幼年狼妖,341,0,sys_4_178,20,0,0,0,24,1,1,1,1,30,70,,
260,1,幼年狼妖,341,0,sys_4_179,20,0,0,0,24,1,1,1,1,30,70,,
261,1,幼年狼妖,341,0,sys_4_180,20,0,0,0,24,1,1,1,1,30,70,,
262,1,幼年狼妖,341,1,sys_4_181,20,0,0,0,24,1,1,1,1,30,70,,
263,1,幼年狼妖,341,0,sys_4_182,20,0,0,0,24,1,1,1,1,30,70,,
264,1,幼年狼妖,341,1,sys_4_183,20,0,0,0,24,1,1,1,1,30,70,,
265,1,幼年狼妖,341,0,sys_4_184,20,0,0,0,24,1,1,1,1,30,70,,
266,1,幼年狼妖,341,1,sys_4_185,20,0,0,0,24,1,1,1,1,30,70,,
267,1,幼年狼妖,341,0,sys_4_186,20,0,0,0,24,1,1,1,1,30,70,,
268,1,幼年狼妖,341,0,sys_4_187,20,0,0,0,24,1,1,1,1,30,70,,
269,1,幼年狼妖,341,0,sys_4_188,20,0,0,0,24,1,1,1,1,30,70,,
270,1,幼年狼妖,341,1,sys_4_189,20,0,0,0,24,1,1,1,1,30,70,,
271,1,幼年狼妖,341,0,sys_4_190,20,0,0,0,24,1,1,1,1,30,70,,
272,1,幼年狼妖,341,1,sys_4_191,20,0,0,0,24,1,1,1,1,30,70,,
273,1,幼年狼妖,341,0,sys_4_192,20,0,0,0,24,1,1,1,1,30,70,,
274,1,幼年狼妖,341,1,sys_4_193,20,0,0,0,24,1,1,1,1,30,70,,
275,1,幼年狼妖,341,0,sys_4_194,20,0,0,0,24,1,1,1,1,30,70,,
276,1,幼年狼妖,341,1,sys_4_195,20,0,0,0,24,1,1,1,1,30,70,,
277,1,幼年狼妖,341,0,sys_4_196,20,0,0,0,24,1,1,1,1,30,70,,
278,1,幼年狼妖,341,1,sys_4_197,20,0,0,0,24,1,1,1,1,30,70,,
279,1,幼年狼妖,341,0,sys_4_198,20,0,0,0,24,1,1,1,1,30,70,,
280,1,妖骨鱼,343,1,sys_4_199,20,0,0,0,24,1,1,1,1,30,70,,
281,1,妖骨鱼,343,1,sys_4_200,20,0,0,0,24,1,1,1,1,30,70,,
282,1,妖骨鱼,343,1,sys_4_201,20,0,0,0,24,1,1,1,1,30,70,,
283,1,妖骨鱼,343,1,sys_4_202,20,0,0,0,24,1,1,1,1,30,70,,
284,1,妖骨鱼,343,1,sys_4_203,20,0,0,0,24,1,1,1,1,30,70,,
285,1,妖骨鱼,343,1,sys_4_204,20,0,0,0,24,1,1,1,1,30,70,,
286,1,妖骨鱼,343,1,sys_4_205,20,0,0,0,24,1,1,1,1,30,70,,
287,1,翠竹精,329,1,sys_4_1,20,0,0,0,24,1,1,1,1,30,70,,
288,1,翠竹精,329,1,sys_4_2,20,0,0,0,24,1,1,1,1,30,70,,
289,1,翠竹精,329,1,sys_4_3,20,0,0,0,24,1,1,1,1,30,70,,
290,1,翠竹精,329,1,sys_4_4,20,0,0,0,24,1,1,1,1,30,70,,
291,1,翠竹精,329,0,sys_4_5,20,0,0,0,24,1,1,1,1,30,70,,
292,1,翠竹精,329,0,sys_4_6,20,0,0,0,24,1,1,1,1,30,70,,
293,1,翠竹精,329,1,sys_4_7,20,0,0,0,24,1,1,1,1,30,70,,
294,1,翠竹精,329,0,sys_4_8,20,0,0,0,24,1,1,1,1,30,70,,
295,1,翠竹精,329,1,sys_4_9,20,0,0,0,24,1,1,1,1,30,70,,
296,1,翠竹精,329,0,sys_4_10,20,0,0,0,24,1,1,1,1,30,70,,
297,1,翠竹精,329,1,sys_4_11,20,0,0,0,24,1,1,1,1,30,70,,
298,1,翠竹精,329,0,sys_4_12,20,0,0,0,24,1,1,1,1,30,70,,
299,1,翠竹精,329,1,sys_4_13,20,0,0,0,24,1,1,1,1,30,70,,
