ID,允许直接接受,分组ID,催粮任务,跑环任务,文官任务,文官任务计数,任务名称,任务描述,动态提示,提示道具,提示数量,任务接受条件,任务完成条件,最低等级,最高等级,国家限制,职业限制,官职要求,是否可重复,接受时间限制,完成时间限制,任务标记道具,是否可取消,接受任务标记,完成方式,npc1接任务对话,npc1接任务后对话,npc1任务中对话,npc2任务中对话,npc2完成任务后对话,npc2选择失败对话,,固定奖励,随机奖励概率,随机奖励,,选择标记1,选择标记2,选择标记3,选择标记4,选择标记5,特殊要求1,特殊要求2,特殊要求3,特殊要求4,特殊要求5,特殊奖励概率,特殊奖励1,特殊奖励2,特殊奖励3,特殊奖励4,特殊奖励5,任务区域,任务区块分组,是否受上限个数限制,是否可共享,任务相关信息,接受NPC坐标,完成NPC坐标,可选奖励,动态提示2,职业奖励
10171,1,0,0,0,0,0,隐密机关,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#C8FFF1"">杀死狼妖魂，从他身上得到一块碎玉骨。</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font><font color=""#C8FFF1"">说那碎玉骨正合狼妖魂骷髅装饰之上的孔洞，既然狼妖魂带在身上，那房间中的骷髅装饰可能有什么秘密。带着碎玉骨去看看狼妖魂房间的</font><font color=""#75FF78"">骷髅装饰（镇妖塔一层520 -1522）</font><font color=""#C8FFF1"">有何玄机。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10170,,30,100,2,0,0,0,0,-1,,1,Enttask_t10171,,task/task_t10171/task_t10171_01.html,,task/task_t10171/task_t10171_02.html,,task/task_t10171/task_t10171_04.html,,,"exp 30096
gold 573
credit 3 7
item 5004 1",,,,,,,,,,,,,,,,,,,,镇妖塔一层,4,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：去找</font><font color=""#75FF78"">骷髅装饰（镇妖塔一层520 -1522）</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：杀死狼妖魂，从他身上得到一块碎玉骨。</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font><font color=""#C8FFF1"">说那碎玉骨正合狼妖魂骷髅装饰之上的孔洞，既然狼妖魂带在身上，那房间中的骷髅装饰可能有什么秘密。带着碎玉骨去看看狼妖魂房间的</font><font color=""#75FF78"">骷髅装饰（镇妖塔一层520 -1522）</font><font color=""#C8FFF1"">有何玄机。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","10005,-30790;","10410,-30425;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene03 80 367 scene01 269"">骷髅装饰（镇妖塔一层520 -1522）</a>",
10172,1,0,0,0,0,0,狂妄仙客,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#C8FFF1"">你用碎玉骨开启</font><font color=""#75FF78"">骷髅装饰（镇妖塔一层520 -1522）</font><font color=""#C8FFF1"">的机关，在那里发现一柄琉光匕首。匕首与红岩石气息相近，可能也是玄黄鼎之一。突然，远处传来尖叫声，有新的妖魔来袭，赶紧去找</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font><font color=""#C8FFF1"">商量离开这里吧。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10171,,30,100,2,0,0,0,0,-1,,1,Enttask_t10172,,task/task_t10172/task_t10172_01.html,,task/task_t10172/task_t10172_02.html,,task/task_t10172/task_t10172_04.html,,,"exp 31149
gold 593
credit 3 8",,,,,,,,,,,,,,,,,,,,镇妖塔一层,4,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><font color=""#75FF78"">骷髅装饰（镇妖塔一层520 -1522）</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：去找</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：你用碎玉骨开启</font><font color=""#75FF78"">骷髅装饰（镇妖塔一层520 -1522）</font><font color=""#C8FFF1"">的机关，在那里发现一柄琉光匕首。匕首与红岩石气息相近，可能也是玄黄鼎之一。突然，远处传来尖叫声，有新的妖魔来袭，赶紧去找</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font><font color=""#C8FFF1"">商量离开这里吧。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","10410,-30425;","10005,-30790;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene03 80 367 scene01 268"">卫仙客（镇妖塔一层500 -1540）</a>",
10173,1,0,0,0,0,0,漫长归途,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#C8FFF1"">与</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font><font color=""#C8FFF1"">交谈时，身受重伤的他吐出一口黑血。看来卫仙客不但身受重伤，还中了毒草，还中了毒，情势有些难堪，需把他带给</font><a href=""client://clientmovetoscene4 scene03 80 367 scene01 265"">李蓉蓉（剑阁1462 1334）</a><font color=""#C8FFF1"">治疗。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">护送卫仙客出塔</font>",5005,1,taskdone 10172,item 5005 1,30,100,2,0,0,0,0,-1,,1,Enttask_t10173,,task/task_t10173/task_t10173_01.html,,task/task_t10173/task_t10173_02.html,task/task_t10173/task_t10173_03.html,task/task_t10173/task_t10173_04.html,,,"exp 233617
gold 4454
credit 3 60",,,,,,,,,,,,,,,,,,,,镇妖塔一层,4,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：护送卫仙客出塔</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：与</font><font color=""#75FF78"">卫仙客（镇妖塔一层500 -1540）</font><font color=""#C8FFF1"">交谈时，身受重伤的他吐出一口黑血。看来卫仙客不但身受重伤，还中了毒草，还中了毒，情势有些难堪，需把他带给</font><a href=""client://clientmovetoscene4 scene03 80 367 scene01 265"">李蓉蓉（剑阁1462 1334）</a><font color=""#C8FFF1"">治疗。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","10005,-30790;","29250,26690;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene03 80 367 scene01 265"">李蓉蓉（剑阁1462 1334）</a>",
10900,1,0,0,0,0,0,天劫临近,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#939393"">不知何时开始，内在修为飞速增长，但实力却停滞不前。体内不时气血翻腾，让人有种不祥预兆，好似自身将有大事发生。这种令人毛骨悚然的感觉叫人无法静心修行，须回师门请教</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a><font color=""#939393"">才行。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,gradelev 38,,30,100,2,3,0,0,0,-1,,1,Enttask_t10900,,task/task_t10900/task_t10900_01.html,,,,task/task_t10900/task_t10900_04.html,,,"exp 25866
gold 493
credit 3 6",,,,,,,,,,,,,,,,,,,,,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务条件：修为等级提升到39级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：回师门找</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,"10140,38940;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a>",
10901,1,0,0,0,0,0,渡劫法衣,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：击杀</font><font color=""#75FF78"">阿修罗教女仆（五回洞-496 -1272）</font><font color=""#C8FFF1"">和</font><font color=""#75FF78"">三尾（不夜洞-884 -1367）</font><font color=""#C8FFF1"">取得鬼魅之魂和九尾之魄</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">击杀</font><font color=""#75FF78"">阿修罗教女仆（五回洞-496 -1272）</font><font color=""#C8FFF1"">取得鬼魅之魂</font>
<font color=""#C8FFF1"">击杀</font><font color=""#75FF78"">三尾（不夜洞-884 -1367）</font><font color=""#C8FFF1"">取得九尾之魄</font>","5006
5007","5
5",taskdone 10900,"item 5006 5
item 5007 5",30,100,2,3,0,0,0,-1,,1,Enttask_t10901,,task/task_t10901/task_t10901_01.html,,task/task_t10901/task_t10901_02.html,task/task_t10901/task_t10901_02.html,task/task_t10901/task_t10901_04.html,,,"exp 287400
gold 5480
credit 3 73
item 2005 1 blue",,,,,,,,,,,,,,,,,,,,蜀山,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：击杀</font><font color=""#75FF78"">阿修罗教女仆（五回洞-496 -1272）</font><font color=""#C8FFF1"">和</font><font color=""#75FF78"">三尾（不夜洞-884 -1367）</font><font color=""#C8FFF1"">取得鬼魅之魂和九尾之魄</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","10140,38940;","10140,38940;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a>",
10902,1,0,0,0,0,0,渡劫仙丹,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#C8FFF1"">渡劫艰难，多有人因真气尽竭而失败。门中为防此事发生炼制了不少补元丹，但近来渡劫人数激增，门中丹药将要耗尽。</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a><font color=""#C8FFF1"">算出你之劫期还需数日，让你去蜀郡郊外洞穴和玉凌雪域的冰湖雪原去取</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 314 1499"">赤血蓝（蜀郡郊外314 1499）</a><font color=""#C8FFF1"">和</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 -689 515"">继木叶（玉淩雪域-689 515）</a><font color=""#C8FFF1"">。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">采集</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 314 1499"">赤血蓝（蜀郡郊外314 1499）</a>
<font color=""#C8FFF1"">采集</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 -689 515"">继木叶（玉淩雪域-689 515）</a>","5008
5009","1
1",taskdone 10901,"item 5008 1
item 5009 1",30,100,2,3,0,0,0,-1,,1,Enttask_t10902,,task/task_t10902/task_t10902_01.html,,task/task_t10902/task_t10902_02.html,task/task_t10902/task_t10902_03.html,task/task_t10902/task_t10902_04.html,,,"exp 357150
gold 6810
credit 3 91
item 6022 10
item 6023 10",,,,,,,,,,,,,,,,,,,,蜀山,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 186"">蜀山长老玄真子（蜀山507 1947）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：取得</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 314 1499"">赤血蓝（蜀郡郊外314 1499）</a><font color=""#C8FFF1"">和</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 -689 515"">继木叶（玉淩雪域-689 515）</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","10140,38940;","11140,37975;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 188"">灵道人（蜀山557 1898）</a>",
10903,1,0,0,0,0,0,天劫难渡,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><a href=""client://clientmovetonpc 188"">灵道人（蜀山557 1898）</a><font color=""#C8FFF1"">将你送往渡劫之地接天峰，并请了世外散仙接天道为你护法。在接天峰上，你将面对不断的天雷轰击，和各种心魔幻、怒、贪、秽、恶、绮、妄、盗、淫、杀的侵袭，直到杀死出现的真正心魔。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">击杀</font><font color=""#75FF78"">心魔</font>",,,taskdone 10902,killmonster 1 4010 0 0 0,30,100,2,3,0,0,0,-1,,1,Enttask_t10903,,task/task_t10903/task_t10903_01.html,,task/task_t10903/task_t10903_02.html,task/task_t10903/task_t10903_02.html,task/task_t10903/task_t10903_04.html,,,"exp 535725
gold 10215
credit 3 392157
mlev 1
item 6207 1",,,,,,,,,,,,,,,,,,,,蜀山,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 188"">灵道人（蜀山557 1898）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：杀死</font><font color=""#75FF78"">心魔</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","11140,37975;","11140,37975;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 188"">灵道人（蜀山557 1898）</a>",
10910,1,0,0,0,0,0,天劫临近,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#939393"">不知何时开始，内在修为飞速增长，但实力却停滞不前。体内不时气血翻腾，让人有种不祥预兆，好似自身将有大事发生。这种令人毛骨悚然的感觉叫人无法静心修行，须回师门请教</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a><font color=""#939393"">才行。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,gradelev 38,,30,100,2,2,0,0,0,-1,,1,Enttask_t10910,,task/task_t10910/task_t10910_01.html,,,,task/task_t10910/task_t10910_04.html,,,"exp 25866
gold 493
credit 3 6",,,,,,,,,,,,,,,,,,,,,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务条件：修为等级提升到39级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：回师门找</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,"17380,-5100;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a>",
10911,1,0,0,0,0,0,渡劫法衣,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：击杀</font><font color=""#75FF78"">阿修罗教女仆（五回洞-496 -1272）</font><font color=""#C8FFF1"">和</font><font color=""#75FF78"">三尾（不夜洞-884 -1367）</font><font color=""#C8FFF1"">取得鬼魅之魂和九尾之魄</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">击杀</font><font color=""#75FF78"">阿修罗教女仆（五回洞-496 -1272）</font><font color=""#C8FFF1"">取得鬼魅之魂</font>
<font color=""#C8FFF1"">击杀</font><font color=""#75FF78"">三尾（不夜洞-884 -1367）</font><font color=""#C8FFF1"">取得九尾之魄</font>","5006
5007","5
5",taskdone 10910,"item 5006 5
item 5007 5",30,100,2,2,0,0,0,-1,,1,Enttask_t10911,,task/task_t10911/task_t10911_01.html,,task/task_t10911/task_t10911_02.html,task/task_t10911/task_t10911_02.html,task/task_t10911/task_t10911_04.html,,,"exp 287400
gold 5480
credit 3 73
item 2205 1 blue",,,,,,,,,,,,,,,,,,,,花间,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：击杀</font><font color=""#75FF78"">阿修罗教女仆（五回洞-496 -1272）</font><font color=""#C8FFF1"">和</font><font color=""#75FF78"">三尾（不夜洞-884 -1367）</font><font color=""#C8FFF1"">取得鬼魅之魂和九尾之魄</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","17380,-5100;","17380,-5100;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a>",
10912,1,0,0,0,0,0,渡劫仙丹,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#C8FFF1"">渡劫艰难，多有人因真气尽竭而失败。门中为防此事发生炼制了不少补元丹，但近来渡劫人数激增，门中丹药将要耗尽。</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a><font color=""#C8FFF1"">算出你之劫期还需数日，让你去蜀郡郊外洞穴和玉凌雪域的冰湖雪原去取</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 314 1499"">赤血蓝（蜀郡郊外314 1499）</a><font color=""#C8FFF1"">和</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 -689 515"">继木叶（玉淩雪域-689 515）</a><font color=""#C8FFF1"">。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">采集</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 314 1499"">赤血蓝（蜀郡郊外314 1499）</a>
<font color=""#C8FFF1"">采集</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 -689 515"">继木叶（玉淩雪域-689 515）</a>","5008
5009","1
1",taskdone 10911,"item 5008 1
item 5009 1",30,100,2,2,0,0,0,-1,,1,Enttask_t10912,,task/task_t10912/task_t10912_01.html,,task/task_t10912/task_t10912_02.html,task/task_t10912/task_t10912_03.html,task/task_t10912/task_t10912_04.html,,,"exp 357150
gold 6810
credit 3 91
item 6022 10
item 6023 10",,,,,,,,,,,,,,,,,,,,花间,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 181"">蝶兰花穆莹（花间869 -255）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：取得</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 314 1499"">赤血蓝（蜀郡郊外314 1499）</a><font color=""#C8FFF1"">和</font><a href=""client://clientmovetoscene1 scene03 80 367 scene01 -689 515"">继木叶（玉淩雪域-689 515）</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","17380,-5100;","17660,-4820;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 182"">花间四艺琴凝如（花间883 -241）</a>",
10913,1,0,0,0,0,0,天劫难渡,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><a href=""client://clientmovetonpc 182"">花间四艺琴凝如（花间883 -241）</a><font color=""#C8FFF1"">将你送往渡劫之地接天峰，并请了世外散仙接天道为你护法。在接天峰上，你将面对不断的天雷轰击，和各种心魔幻、怒、贪、秽、恶、绮、妄、盗、淫、杀的侵袭，直到杀死出现的真正心魔。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">击杀</font><font color=""#75FF78"">心魔</font>",,,taskdone 10912,killmonster 1 4010 0 0 0,30,100,2,2,0,0,0,-1,,1,Enttask_t10913,,task/task_t10913/task_t10913_01.html,,task/task_t10913/task_t10913_02.html,task/task_t10913/task_t10913_02.html,task/task_t10913/task_t10913_04.html,,,"exp 535725
gold 10215
credit 3 392157
mlev 1
item 6207 1",,,,,,,,,,,,,,,,,,,,花间,95,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetonpc 182"">花间四艺琴凝如（花间883 -241）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：30级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：杀死</font><font color=""#75FF78"">心魔</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","17660,-4820;","17660,-4820;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetonpc 182"">花间四艺琴凝如（花间883 -241）</a>",
