ID,名称,阶段,类型,子类型,神兽ID,分解ID,可锻造,可交易,可商店,可删除,可丢弃,可重叠摆放,是否任务道具,是否可存仓,不允许融合,移动坐标,点数,价值,仙誉,俗名,积分,军功,帮贡,门贡,命中,伤害,防御,闪躲,攻击速度,攻击距离,移动速度,必杀率,MaxHp,MaxMp,抗火,抗水,抗毒,法宝属性,神兽属性,升级百分比,等级需求,最大等级,选择等级,修为等级需求,力量需求,体质需求,敏捷需求,智力需求,精准需求,职业需求,阶段需求,Icon,路径动画,刀光,Model,UpdateModel,UpdateEffect,Sound,初始使用次数,最大使用次数,耐久上限,Hp增加,Hp百分比增加,Mp增加,Mp百分比增加,Enp增加,Enp百分比增加,Exp增加,打卡时间增加,使用限制,持续时间,对应Skin,特效文件,是否双手武器,技能ID,任务ID,套装ID,宝石合成,宝石合成成功率,宝石合成金钱,是否副本掉落,参数1,说明,备注
11,太乙离火剑,1,1,6,,11,1,1,1,1,1,0,0,1,,,,48000,,,,,,,119,113&124,,,0.8,200,,6,,,,,,,,,100,150,100,,,208,,406,,4,1,pic_w_ssj_11,ss_fj,eff_addhp,w_ssj_f_11,1&w_ssj_f_11&w_ssj_m_11;1&w_ssj_f_11&w_ssj_m_11;1&w_ssj_f_11_01&w_ssj_m_11_01;1&w_ssj_f_11_01&w_ssj_m_11_01;1&w_ssj_f_11_02&w_ssj_m_11_02;1&w_ssj_f_11_02&w_ssj_m_11_02;1&w_ssj_f_11_02&w_ssj_m_11_02;1&w_ssj_f_11_03&w_ssj_m_11_03;1&w_ssj_f_11_03&w_ssj_m_11_03;1&w_ssj_f_11_03&w_ssj_m_11_03;1&w_ssj_f_11_04&w_ssj_m_11_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">此飞剑以太乙玄火打造而成，剑宽而无刃，短而无尖，虽无锋却也无情，剑下洗清无数妖魔的怨孽。</FONT></P>",
21,护身轮,1,1,5,,1,1,1,1,1,1,0,0,1,,,,100,,,,,,,9,22&25,,,0.6,200,,6,,,,,,,,,1,150,1,,,10,,10,,4,1,pic_w_ssl_01,ss_fl,fldaoguang,w_ssl_f_01,1&w_ssl_f_01&w_ssl_m_01;1&w_ssl_f_01&w_ssl_m_01;1&w_ssl_f_01_01&w_ssl_m_01_01;1&w_ssl_f_01_01&w_ssl_m_01_01;1&w_ssl_f_01_02&w_ssl_m_01_02;1&w_ssl_f_01_02&w_ssl_m_01_02;1&w_ssl_f_01_02&w_ssl_m_01_02;1&w_ssl_f_01_03&w_ssl_m_01_03;1&w_ssl_f_01_03&w_ssl_m_01_03;1&w_ssl_f_01_03&w_ssl_m_01_03;1&w_ssl_f_01_04&w_ssl_m_01_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">此法轮平淡无奇，但却是绝大多数修真之人的护身法宝。平时纳于怀中，关键时刻才会显示出其内敛的威力。</FONT></P>",
22,新月轮,1,1,5,,2,1,1,1,1,1,0,0,1,,,,200,,,,,,,17,33&36,,,0.6,200,,6,,,,,,,,,10,150,10,,,28,,46,,4,1,pic_w_ssl_02,ss_fl,fldaoguang,w_ssl_f_02,1&w_ssl_f_02&w_ssl_m_02;1&w_ssl_f_02&w_ssl_m_02;1&w_ssl_f_02_01&w_ssl_m_02_01;1&w_ssl_f_02_01&w_ssl_m_02_01;1&w_ssl_f_02_02&w_ssl_m_02_02;1&w_ssl_f_02_02&w_ssl_m_02_02;1&w_ssl_f_02_02&w_ssl_m_02_02;1&w_ssl_f_02_03&w_ssl_m_02_03;1&w_ssl_f_02_03&w_ssl_m_02_03;1&w_ssl_f_02_03&w_ssl_m_02_03;1&w_ssl_f_02_04&w_ssl_m_02_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">新月轮形如新月，小巧轻便，乃蜀山弟子入门法器。</FONT></P>",
23,金光轮,1,1,5,,3,1,1,1,1,1,0,0,1,,,,400,,,,,,,26,44&49,,,0.6,200,,6,,,,,,,,,20,150,20,,,48,,86,,4,1,pic_w_ssl_03,ss_fl,fldaoguang,w_ssl_f_03,1&w_ssl_f_03&w_ssl_m_03;1&w_ssl_f_03&w_ssl_m_03;1&w_ssl_f_03_01&w_ssl_m_03_01;1&w_ssl_f_03_01&w_ssl_m_03_01;1&w_ssl_f_03_02&w_ssl_m_03_02;1&w_ssl_f_03_02&w_ssl_m_03_02;1&w_ssl_f_03_02&w_ssl_m_03_02;1&w_ssl_f_03_03&w_ssl_m_03_03;1&w_ssl_f_03_03&w_ssl_m_03_03;1&w_ssl_f_03_03&w_ssl_m_03_03;1&w_ssl_f_03_04&w_ssl_m_03_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">北冥极寒之地，偶会出现罕见佛光，若能在佛光消失前赶到，定能发现此种奇石，经开光后炼制可成此轮。</FONT></P>",
24,玄冰轮,1,1,5,,4,1,1,1,1,1,0,0,1,,,,1200,,,,,,,35,55&61,,,0.6,200,,6,,,,,,,,,30,150,30,,,68,,126,,4,1,pic_w_ssl_04,ss_fl,fldaoguang,w_ssl_f_04,1&w_ssl_f_04&w_ssl_m_04;1&w_ssl_f_04&w_ssl_m_04;1&w_ssl_f_04_01&w_ssl_m_04_01;1&w_ssl_f_04_01&w_ssl_m_04_01;1&w_ssl_f_04_02&w_ssl_m_04_02;1&w_ssl_f_04_02&w_ssl_m_04_02;1&w_ssl_f_04_02&w_ssl_m_04_02;1&w_ssl_f_04_03&w_ssl_m_04_03;1&w_ssl_f_04_03&w_ssl_m_04_03;1&w_ssl_f_04_03&w_ssl_m_04_03;1&w_ssl_f_04_04&w_ssl_m_04_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">集天地阴寒之气，炼九天冰晶于轮中，至寒至阴之物。</FONT></P>",
25,鸾飞轮,1,1,5,,5,1,1,1,1,1,0,0,1,,,,8000,,,,,,,44,67&74,,,0.6,200,,6,,,,,,,,,40,150,40,,,88,,166,,4,1,pic_w_ssl_05,ss_fl,fldaoguang,w_ssl_f_05,1&w_ssl_f_05&w_ssl_m_05;1&w_ssl_f_05&w_ssl_m_05;1&w_ssl_f_05_01&w_ssl_m_05_01;1&w_ssl_f_05_01&w_ssl_m_05_01;1&w_ssl_f_05_02&w_ssl_m_05_02;1&w_ssl_f_05_02&w_ssl_m_05_02;1&w_ssl_f_05_02&w_ssl_m_05_02;1&w_ssl_f_05_03&w_ssl_m_05_03;1&w_ssl_f_05_03&w_ssl_m_05_03;1&w_ssl_f_05_03&w_ssl_m_05_03;1&w_ssl_f_05_04&w_ssl_m_05_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">因真气发动之时，会呼来火凤相助而得名。</FONT></P>",
26,冷月轮,1,1,5,,6,1,1,1,1,1,0,0,1,,,,12000,,,,,,,53,78&86,,,0.6,200,,6,,,,,,,,,50,150,50,,,108,,206,,4,1,pic_w_ssl_06,ss_fl,fldaoguang,w_ssl_f_06,1&w_ssl_f_06&w_ssl_m_06;1&w_ssl_f_06&w_ssl_m_06;1&w_ssl_f_06_01&w_ssl_m_06_01;1&w_ssl_f_06_01&w_ssl_m_06_01;1&w_ssl_f_06_02&w_ssl_m_06_02;1&w_ssl_f_06_02&w_ssl_m_06_02;1&w_ssl_f_06_02&w_ssl_m_06_02;1&w_ssl_f_06_03&w_ssl_m_06_03;1&w_ssl_f_06_03&w_ssl_m_06_03;1&w_ssl_f_06_03&w_ssl_m_06_03;1&w_ssl_f_06_04&w_ssl_m_06_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">海底灵石之一种，通体碧绿，冰凉透骨。用它炼制出的月轮形如冷月，轻灵而迅捷，更易于挥洒自如。</FONT></P>",
27,墨刃轮,1,1,5,,7,1,1,1,1,1,0,0,1,,,,16000,,,,,,,62,90&99,,,0.6,200,,6,,,,,,,,,60,150,60,,,128,,246,,4,1,pic_w_ssl_07,ss_fl,fldaoguang,w_ssl_f_07,1&w_ssl_f_07&w_ssl_m_07;1&w_ssl_f_07&w_ssl_m_07;1&w_ssl_f_07_01&w_ssl_m_07_01;1&w_ssl_f_07_01&w_ssl_m_07_01;1&w_ssl_f_07_02&w_ssl_m_07_02;1&w_ssl_f_07_02&w_ssl_m_07_02;1&w_ssl_f_07_02&w_ssl_m_07_02;1&w_ssl_f_07_03&w_ssl_m_07_03;1&w_ssl_f_07_03&w_ssl_m_07_03;1&w_ssl_f_07_03&w_ssl_m_07_03;1&w_ssl_f_07_04&w_ssl_m_07_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">以南海深底墨色矿石炼制而成，为圆形月轮，中圆而外带利刃，破坏力极强。</FONT></P>",
28,皓月轮,1,1,5,,8,1,1,1,1,1,0,0,1,,,,20000,,,,,,,71,101&112,,,0.6,200,,6,,,,,,,,,70,150,70,,,148,,286,,4,1,pic_w_ssl_08,ss_fl,fldaoguang,w_ssl_f_08,1&w_ssl_f_08&w_ssl_m_08;1&w_ssl_f_08&w_ssl_m_08;1&w_ssl_f_08_01&w_ssl_m_08_01;1&w_ssl_f_08_01&w_ssl_m_08_01;1&w_ssl_f_08_02&w_ssl_m_08_02;1&w_ssl_f_08_02&w_ssl_m_08_02;1&w_ssl_f_08_02&w_ssl_m_08_02;1&w_ssl_f_08_03&w_ssl_m_08_03;1&w_ssl_f_08_03&w_ssl_m_08_03;1&w_ssl_f_08_03&w_ssl_m_08_03;1&w_ssl_f_08_04&w_ssl_m_08_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">皓月晶石乃蜀中稀物，唯南海芷云宫中有产，得者可炼成神兵法宝。皓月轮便是其一，月华郎照，锐不可当。</FONT></P>",
29,冰精轮,1,1,5,,9,1,1,1,1,1,0,0,1,,,,24000,,,,,,,80,112&124,,,0.6,200,,6,,,,,,,,,80,150,80,,,168,,326,,4,1,pic_w_ssl_09,ss_fl,fldaoguang,w_ssl_f_09,1&w_ssl_f_09&w_ssl_m_09;1&w_ssl_f_09&w_ssl_m_09;1&w_ssl_f_09_01&w_ssl_m_09_01;1&w_ssl_f_09_01&w_ssl_m_09_01;1&w_ssl_f_09_02&w_ssl_m_09_02;1&w_ssl_f_09_02&w_ssl_m_09_02;1&w_ssl_f_09_02&w_ssl_m_09_02;1&w_ssl_f_09_03&w_ssl_m_09_03;1&w_ssl_f_09_03&w_ssl_m_09_03;1&w_ssl_f_09_03&w_ssl_m_09_03;1&w_ssl_f_09_04&w_ssl_m_09_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">此轮取材至昆仑冰之精魄，触其者无不成冰，唯历过火劫，元神之内蕴藏火元之人方可使用。</FONT></P>",
30,净月破空轮,1,1,5,,10,1,1,1,1,1,0,0,1,,,,32000,,,,,,,89,124&137,,,0.6,200,,6,,,,,,,,,90,150,90,,,188,,366,,4,1,pic_w_ssl_10,ss_fl,fldaoguang,w_ssl_f_10,1&w_ssl_f_10&w_ssl_m_10;1&w_ssl_f_10&w_ssl_m_10;1&w_ssl_f_10_01&w_ssl_m_10_01;1&w_ssl_f_10_01&w_ssl_m_10_01;1&w_ssl_f_10_02&w_ssl_m_10_02;1&w_ssl_f_10_02&w_ssl_m_10_02;1&w_ssl_f_10_02&w_ssl_m_10_02;1&w_ssl_f_10_03&w_ssl_m_10_03;1&w_ssl_f_10_03&w_ssl_m_10_03;1&w_ssl_f_10_03&w_ssl_m_10_03;1&w_ssl_f_10_04&w_ssl_m_10_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">此轮形如新月，锋刃细长，破空之时，吟吟有声。</FONT></P>",
31,九转旭日轮,1,1,5,,11,1,1,1,1,1,0,0,1,,,,48000,,,,,,,98,135&149,,,0.6,200,,6,,,,,,,,,100,150,100,,,208,,406,,4,1,pic_w_ssl_11,ss_fl,fldaoguang,w_ssl_f_11,1&w_ssl_f_11&w_ssl_m_11;1&w_ssl_f_11&w_ssl_m_11;1&w_ssl_f_11_01&w_ssl_m_11_01;1&w_ssl_f_11_01&w_ssl_m_11_01;1&w_ssl_f_11_02&w_ssl_m_11_02;1&w_ssl_f_11_02&w_ssl_m_11_02;1&w_ssl_f_11_02&w_ssl_m_11_02;1&w_ssl_f_11_03&w_ssl_m_11_03;1&w_ssl_f_11_03&w_ssl_m_11_03;1&w_ssl_f_11_03&w_ssl_m_11_03;1&w_ssl_f_11_04&w_ssl_m_11_04;,,Click_t1.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">深海真金打造炼制，通体弯月之形。简约利落，但丝毫不影响其杀伤力。金色的光芒划过天际，绚丽而无情。</FONT></P>",
41,蚕丝,3,1,4,,1,1,1,1,1,1,0,0,1,,,,100,,,,,,,9,16&31,,,0.8,120,,8,,,,,,,,,1,150,1,,,10,10,,,2,1,pic_w_hjl_01,hj_l,ctx_ling01,w_hjl_f_01,1&w_hjl_f_01&w_hjl_m_01;1&w_hjl_f_01&w_hjl_m_01;1&w_hjl_f_01_01&w_hjl_m_01_01;1&w_hjl_f_01_01&w_hjl_m_01_01;1&w_hjl_f_01_02&w_hjl_m_01_02;1&w_hjl_f_01_02&w_hjl_m_01_02;1&w_hjl_f_01_02&w_hjl_m_01_02;1&w_hjl_f_01_03&w_hjl_m_01_03;1&w_hjl_f_01_03&w_hjl_m_01_03;1&w_hjl_f_01_03&w_hjl_m_01_03;1&w_hjl_f_01_04&w_hjl_m_01_04;,,Click_bj.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">轻盈洁白的蚕丝，每一缕都是蚕儿的完美之作，用其纺织成绫，曼妙无比。</FONT></P>",
42,迎风,3,1,4,,2,1,1,1,1,1,0,0,1,,,,200,,,,,,,17,24&45,,,0.8,120,,8,,,,,,,,,10,150,10,,,28,46,,,2,1,pic_w_hjl_02,hj_l,ctx_ling01,w_hjl_f_02,1&w_hjl_f_02&w_hjl_m_02;1&w_hjl_f_02&w_hjl_m_02;1&w_hjl_f_02_01&w_hjl_m_02_01;1&w_hjl_f_02_01&w_hjl_m_02_01;1&w_hjl_f_02_02&w_hjl_m_02_02;1&w_hjl_f_02_02&w_hjl_m_02_02;1&w_hjl_f_02_02&w_hjl_m_02_02;1&w_hjl_f_02_03&w_hjl_m_02_03;1&w_hjl_f_02_03&w_hjl_m_02_03;1&w_hjl_f_02_03&w_hjl_m_02_03;1&w_hjl_f_02_04&w_hjl_m_02_04;,,Click_bj.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">洁白如皓月，舞动似轻风。如雪般的绫头之上是青铜所制的铜钱饰物。</FONT></P>",
43,柳秀,3,1,4,,3,1,1,1,1,1,0,0,1,,,,400,,,,,,,26,32&60,,,0.8,120,,8,,,,,,,,,20,150,20,,,48,86,,,2,1,pic_w_hjl_03,hj_l,ctx_ling01,w_hjl_f_03,1&w_hjl_f_03&w_hjl_m_03;1&w_hjl_f_03&w_hjl_m_03;1&w_hjl_f_03_01&w_hjl_m_03_01;1&w_hjl_f_03_01&w_hjl_m_03_01;1&w_hjl_f_03_02&w_hjl_m_03_02;1&w_hjl_f_03_02&w_hjl_m_03_02;1&w_hjl_f_03_02&w_hjl_m_03_02;1&w_hjl_f_03_03&w_hjl_m_03_03;1&w_hjl_f_03_03&w_hjl_m_03_03;1&w_hjl_f_03_03&w_hjl_m_03_03;1&w_hjl_f_03_04&w_hjl_m_03_04;,,Click_bj.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">春意盎然的湖边，总少不了婀娜多姿的柳树为伴。无论何时，柳秀舞动总给人春意盎然之感。</FONT></P>",
