WORD,int,char[20],BYTE,BYTE,RtString,char[50],struct,char[20],char[20],BYTE,DWORD,BYTE,WORD,struct,BYTE,BYTE,struct,int,int,struct,struct,bool
58,12,百花缭绕,3,0,加持保护罩吸收伤害1000,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+1000,1,1,,1,180000,,,1
59,12,百花缭绕,4,0,加持保护罩吸收伤害1200,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+1200,1,1,,1,180000,,,1
60,12,百花缭绕,5,0,加持保护罩吸收伤害1600,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+1600,1,1,,1,180000,,,1
61,12,百花缭绕,6,0,加持保护罩吸收伤害1800,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+1800,1,1,,1,180000,,,1
62,12,百花缭绕,7,0,加持保护罩吸收伤害2000,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+2000,1,1,,1,180000,,,1
63,12,百花缭绕,8,0,加持保护罩吸收伤害2500,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+2500,1,1,,1,180000,,,1
64,12,百花缭绕,9,0,加持保护罩吸收伤害3000,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+3000,1,1,,1,180000,,,1
65,12,百花缭绕,10,0,加持保护罩吸收伤害3500,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+3500,1,1,,1,180000,,,1
66,13,眩晕,1,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,1,,1,3000,,,1
67,13,眩晕,2,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,1,,1,4000,,,1
68,13,眩晕,3,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,1,,1,5000,,,1
69,13,眩晕,4,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,1,,1,6000,,,1
70,13,眩晕,5,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,1,,1,7000,,,1
71,14,隐匿,1,0,减少移动速度40%，伤害+50%,pic_skill_hjh_05,,,,0,3,,,DamageMaxR+0.5;DamageMinR+0.5;Hiding+1;SpeedMoveR-0.40,1,1,,1,30000,,,1
72,14,隐匿,2,0,减少移动速度40%，伤害+75%,pic_skill_hjh_05,,,,0,3,,,DamageMaxR+0.75;DamageMinR+0.75;Hiding+1;SpeedMoveR-0.40,1,1,,1,30000,,,1
73,14,隐匿,3,0,减少移动速度40%，伤害+100%,pic_skill_hjh_05,,,,0,3,,,DamageMaxR+1.0;DamageMinR+1.0;Hiding+1;SpeedMoveR-0.40,1,1,,1,30000,,,1
74,14,隐匿,4,0,减少移动速度40%，伤害+125%,pic_skill_hjh_05,,,,0,3,,,DamageMaxR+1.25;DamageMinR+1.25;Hiding+1;SpeedMoveR-0.40,1,1,,1,30000,,,1
75,14,隐匿,5,0,减少移动速度40%，伤害+150%,pic_skill_hjh_05,,,,0,3,,,DamageMaxR+1.5;DamageMinR+1.5;Hiding+1;SpeedMoveR-0.40,1,1,,1,30000,,,1
76,15,荼毒,1,0,毒伤害+80，毒防御+30,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+80;PoisonAr+30,1,1,,1,60000,,,1
77,15,荼毒,2,0,毒伤害+95，毒防御+35,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+95;PoisonAr+35,1,1,,1,60000,,,1
78,15,荼毒,3,0,毒伤害+105，毒防御+40,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+105;PoisonAr+40,1,1,,1,60000,,,1
79,15,荼毒,4,0,毒伤害+120，毒防御+45,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+120;PoisonAr+45,1,1,,1,60000,,,1
80,15,荼毒,5,0,毒伤害+135，毒防御+50,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+135;PoisonAr+50,1,1,,1,60000,,,1
81,15,荼毒,6,0,毒伤害+150，毒防御+55,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+150;PoisonAr+55,1,1,,1,60000,,,1
82,15,荼毒,7,0,毒伤害+165，毒防御+60,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+165;PoisonAr+60,1,1,,1,60000,,,1
83,15,荼毒,8,0,毒伤害+175，毒防御+65,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+175;PoisonAr+65,1,1,,1,60000,,,1
84,15,荼毒,9,0,毒伤害+185，毒防御+70,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+185;PoisonAr+70,1,1,,1,60000,,,1
85,15,荼毒,10,0,毒伤害+200，毒防御+75,pic_skill_hjh_06,,skill_buf6,Bip01 R Hand,0,3,,,PoisonDm+200;PoisonAr+75,1,1,,1,60000,,,1
86,16,迟缓,1,0,减少攻击速度20%,pic_skill_dbf_03,,skill_debuf6,root,0,11,,,SpeedAttackR-0.20,2,1,,1,5000,,,1
87,16,迟缓,2,0,减少攻击速度25%,pic_skill_dbf_03,,skill_debuf6,root,0,11,,,SpeedAttackR-0.25,2,1,,1,5000,,,1
88,16,迟缓,3,0,减少攻击速度30%,pic_skill_dbf_03,,skill_debuf6,root,0,11,,,SpeedAttackR-0.30,2,1,,1,5000,,,1
89,16,迟缓,4,0,减少攻击速度35%,pic_skill_dbf_03,,skill_debuf6,root,0,11,,,SpeedAttackR-0.35,2,1,,1,5000,,,1
90,16,迟缓,5,0,减少攻击速度40%,pic_skill_dbf_03,,skill_debuf6,root,0,11,,,SpeedAttackR-0.40,2,1,,1,5000,,,1
91,17,技能封禁,1,0,无法使用技能攻击，无法与虚无同时存在，潜伏15秒后咒杀150/2秒,pic_skill_mjz_04,,skill_debuf7,Bone99,0,11,,,StateUseSkill 1,2,1,,1,15000,,AddEff 121,1
92,17,技能封禁,2,0,无法使用技能攻击，无法与虚无同时存在，潜伏15秒后咒杀300/2秒,pic_skill_mjz_04,,skill_debuf7,Bone99,0,11,,,StateUseSkill 1,2,1,,1,15000,,AddEff 122,1
93,17,技能封禁,3,0,无法使用技能攻击，无法与虚无同时存在，潜伏15秒后咒杀450/2秒,pic_skill_mjz_04,,skill_debuf7,Bone99,0,11,,,StateUseSkill 1,2,1,,1,15000,,AddEff 123,1
94,17,技能封禁,4,0,无法使用技能攻击，无法与虚无同时存在，潜伏15秒后咒杀600/2秒,pic_skill_mjz_04,,skill_debuf7,Bone99,0,11,,,StateUseSkill 1,2,1,,1,15000,,AddEff 124,1
95,17,技能封禁,5,0,无法使用技能攻击，无法与虚无同时存在，潜伏15秒后咒杀750/2秒,pic_skill_mjz_04,,skill_debuf7,Bone99,0,11,,,StateUseSkill 1,2,1,,1,15000,,AddEff 125,1
96,18,混沌晶壁,1,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+350,0,1000,,,1
97,18,混沌晶壁,2,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+320,0,1000,,,1
98,18,混沌晶壁,3,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+290,0,1000,,,1
99,18,混沌晶壁,4,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+260,0,1000,,,1
100,18,混沌晶壁,5,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+230,0,1000,,,1
116,18,混沌晶壁,6,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+200,0,1000,,,1
117,18,混沌晶壁,7,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+170,0,1000,,,1
118,18,混沌晶壁,8,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+140,0,1000,,,1
119,18,混沌晶壁,9,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+110,0,1000,,,1
120,18,混沌晶壁,10,0,以法力抵挡伤害,pic_skill_mjz_06,,skill_buf21,root,0,3,,,,1,1,ShieldMpR+80,0,1000,,,1
101,19,中毒,1,0,生命减少50/2秒,pic_skill_fb_10,,skill_debuf9,Bone100,0,11,,,,2,0,,5,2000,DeBufPoison+50,,1
102,19,中毒,2,0,生命减少100/2秒,pic_skill_fb_10,,skill_debuf9,Bone100,0,11,,,,2,0,,5,2000,DeBufPoison+100,,1
103,19,中毒,3,0,生命减少150/2秒,pic_skill_fb_10,,skill_debuf9,Bone100,0,11,,,,2,0,,5,2000,DeBufPoison+150,,1
104,19,中毒,4,0,生命减少200/2秒,pic_skill_fb_10,,skill_debuf9,Bone100,0,11,,,,2,0,,5,2000,DeBufPoison+200,,1
105,19,中毒,5,0,生命减少250/2秒,pic_skill_fb_10,,skill_debuf9,Bone100,0,11,,,,2,0,,5,2000,DeBufPoison+250,,1
106,20,匿踪潜行,1,0,增加移动速度5%,pic_skill_hjh_11,,,,0,3,,,SpeedMoveR+0.5,1,1,,1,30000,,,1
107,20,匿踪潜行,2,0,增加移动速度10%,pic_skill_hjh_11,,,,0,3,,,SpeedMoveR+0.10,1,1,,1,30000,,,1
108,20,匿踪潜行,3,0,增加移动速度15%,pic_skill_hjh_11,,,,0,3,,,SpeedMoveR+0.15,1,1,,1,30000,,,1
109,20,匿踪潜行,4,0,增加移动速度20%,pic_skill_hjh_11,,,,0,3,,,SpeedMoveR+0.20,1,1,,1,30000,,,1
110,20,匿踪潜行,5,0,增加移动速度30%,pic_skill_hjh_11,,,,0,3,,,SpeedMoveR+0.30,1,1,,1,30000,,,1
111,21,灼烧,1,0,生命减少30/2秒,pic_skill_dbf_01,,skill_debuf8,Bone100,0,11,,,,2,1,,5,2000,DeBufFire+30,,1
112,21,灼烧,2,0,生命减少70/2秒,pic_skill_dbf_01,,skill_debuf8,Bone100,0,11,,,,2,1,,5,2000,DeBufFire+70,,1
113,21,灼烧,3,0,生命减少110/2秒,pic_skill_dbf_01,,skill_debuf8,Bone100,0,11,,,,2,1,,5,2000,DeBufFire+110,,1
114,21,灼烧,4,0,生命减少160/2秒,pic_skill_dbf_01,,skill_debuf8,Bone100,0,11,,,,2,1,,5,2000,DeBufFire+160,,1
115,21,灼烧,5,0,生命减少210/2秒,pic_skill_dbf_01,,skill_debuf8,Bone100,0,11,,,,2,1,,5,2000,DeBufFire+210,,1
121,22,咒杀,1,0,生命减少150/2秒,pic_skill_dbf_08,,skill_debuf9,Bone100,0,11,,,,2,1,,3,2000,DeBufPoison+150,,1
122,22,咒杀,2,0,生命减少300/2秒,pic_skill_dbf_08,,skill_debuf9,Bone100,0,11,,,,2,1,,3,2000,DeBufPoison+300,,1
123,22,咒杀,3,0,生命减少450/2秒,pic_skill_dbf_08,,skill_debuf9,Bone100,0,11,,,,2,1,,3,2000,DeBufPoison+450,,1
124,22,咒杀,4,0,生命减少600/2秒,pic_skill_dbf_08,,skill_debuf9,Bone100,0,11,,,,2,1,,3,2000,DeBufPoison+600,,1
125,22,咒杀,5,0,生命减少750/2秒,pic_skill_dbf_08,,skill_debuf9,Bone100,0,11,,,,2,1,,3,2000,DeBufPoison+750,,1
126,23,冻裂,1,0,生命减少50/3秒,pic_skill_ssj_17,,skill_buf2,root,0,11,,,,2,1,,5,3000,DeBufWater+50,,1
127,23,冻裂,2,0,生命减少100/3秒,pic_skill_ssj_17,,skill_buf2,root,0,11,,,,2,1,,5,3000,DeBufWater+100,,1
128,23,冻裂,3,0,生命减少150/3秒,pic_skill_ssj_17,,skill_buf2,root,0,11,,,,2,1,,5,3000,DeBufWater+150,,1
129,23,冻裂,4,0,生命减少200/3秒,pic_skill_ssj_17,,skill_buf2,root,0,11,,,,2,1,,5,3000,DeBufWater+200,,1
130,23,冻裂,5,0,生命减少300/3秒,pic_skill_ssj_17,,skill_buf2,root,0,11,,,,2,1,,5,3000,DeBufWater+300,,1
131,24,虚无,1,0,无法使用普通攻击，无法与技能封禁同时存在，潜伏15秒后咒杀150/2秒,pic_skill_dbf_10,,skill_debuf19,Bone99,0,11,,,StateNAttack 1,2,1,,1,15000,,AddEff 121,1
132,24,虚无,2,0,无法使用普通攻击，无法与技能封禁同时存在，潜伏15秒后咒杀300/2秒,pic_skill_dbf_10,,skill_debuf19,Bone99,0,11,,,StateNAttack 1,2,1,,1,15000,,AddEff 122,1
133,24,虚无,3,0,无法使用普通攻击，无法与技能封禁同时存在，潜伏15秒后咒杀450/2秒,pic_skill_dbf_10,,skill_debuf19,Bone99,0,11,,,StateNAttack 1,2,1,,1,15000,,AddEff 123,1
134,24,虚无,4,0,无法使用普通攻击，无法与技能封禁同时存在，潜伏15秒后咒杀600/2秒,pic_skill_dbf_10,,skill_debuf19,Bone99,0,11,,,StateNAttack 1,2,1,,1,15000,,AddEff 124,1
135,24,虚无,5,0,无法使用普通攻击，无法与技能封禁同时存在，潜伏15秒后咒杀750/2秒,pic_skill_dbf_10,,skill_debuf19,Bone99,0,11,,,StateNAttack 1,2,1,,1,15000,,AddEff 125,1
201,201,命中提高,1,0,提高命中50%,pic_skill_ssj_04,,,,0,3,,,AttackRateR+0.50,1,1,,1,30000,,,1
202,202,速度提高,1,0,提高移动速度50%,pic_skill_fb_11,,,,0,3,,,SpeedMoveR+0.50,1,1,,1,15000,,,1
203,203,攻击加强,1,0,提高物理伤10%,pic_skill_ts_18,,,,0,3,,,DamageMaxR+0.1;DamageMinR+0.1,1,1,,1,1800000,,,1
204,204,防御加强,1,0,提高物理防御20%,pic_skill_ts_14,,,,0,3,,,PhyArR+0.2,1,1,,1,1800000,,,1
205,205,水防御加强,1,0,提高水防御20%,pic_skill_ts_14,,,,0,3,,,WaterArR+0.2,1,1,,1,1800000,,,1
206,206,火防御加强,1,0,提高火防御20%,pic_skill_ts_14,,,,0,3,,,FireArR+0.2,1,1,,1,1800000,,,1
207,207,毒防御加强,1,0,提高毒防御20%,pic_skill_ts_14,,,,0,3,,,PoisonArR+0.2,1,1,,1,1800000,,,1
208,208,水攻击加强,1,0,提高水伤害10%,pic_skill_ts_13,,,,0,3,,,WaterDmR+0.1,1,1,,1,1800000,,,1
209,209,火攻击加强,1,0,提高火伤害10%,pic_skill_ts_13,,,,0,3,,,FireDmR+0.1,1,1,,1,1800000,,,1
210,210,毒攻击加强,1,0,提高毒伤害10%,pic_skill_hjh_06,,,,0,3,,,PoisonDmR+0.1,1,1,,1,1800000,,,1
211,211,血量上限上升,1,0,提高生命上限20%,pic_skill_ts_15,,,,0,3,,,MaxHPR+0.2,1,1,,1,3600000,,,1
212,212,持续恢复血量,1,0,持续恢复生命10%,pic_skill_fb_02,,,,0,3,,,,1,1,,10,1000,HPR+0.01,AddEff 301,1
213,213,持续恢复法力,1,0,持续恢复法力10%,pic_skill_ssj_06,,,,0,3,,,,1,1,,10,1000,MPR+0.01,AddEff 302,1
214,214,大量强化伤害和防御,1,0,强化伤害20%和防御20%,pic_skill_ts_19,,,,0,3,,,DamageMaxR+0.2;DamageMinR+0.2;PhyArR+0.2,1,1,,1,30000,,AddEff 303,1
215,215,2倍经验,1,0,2倍经验,pic_exp_02,,,,0,3,,,RateExpR+1,1,1,,1,3600000,,,0
216,215,3倍经验,1,0,3倍经验,pic_exp_03,,,,0,3,,,RateExpR+2,1,1,,1,3600000,,,0
217,216,2倍金钱,1,0,2倍金钱,pic_gold_02,,,,0,3,,,RateGoldR+2,1,1,,1,180000,,,0
218,217,2倍灵力,1,0,2倍灵力,pic_soul_02,,,,0,3,,,,1,1,,1,180000,,,0
219,219,回命丹,1,0,生命恢复增加6点/1秒。,pic_skill_fb_02,,,,0,3,,,,1,1,,1800,1000,HP 6 2,,1
220,220,回魔丹,1,0,法力恢复增加8点/1秒。,pic_skill_ssj_06,,,,0,3,,,,1,1,,1800,1000,MP+8,,1
221,221,玄甲丹,1,0,物理防御增加20%。,pic_skill_ts_14,,,,0,3,,,PhyArR+0.2,1,1,,1,1800000,,,1
222,222,灵影丹,1,0,闪避增加20%。,pic_skill_fb_09,,,,0,3,,,DodgeR+0.2,1,1,,1,1800000,,,1
223,223,龙力丹,1,0,物理伤害增加15%。,pic_skill_ts_18,,,,0,3,,,DamageMaxR+0.15;DamageMinR+0.15,1,1,,1,1800000,,,1
224,224,神眼丹,1,0,命中增加30%。,pic_skill_ssj_04,,,,0,3,,,AttackRateR+0.3,1,1,,1,1800000,,,1
225,225,火魂丹,1,0,火防御增加20%。,pic_skill_ts_14,,,,0,3,,,FireArR+0.2,1,1,,1,1800000,,,1
226,226,水魂丹,1,0,水防御增加20%。,pic_skill_ts_14,,,,0,3,,,WaterArR+0.2,1,1,,1,1800000,,,1
