,,,,基本属性,,,,,,,,,条件,,,,,,施放,,,,,,,,,,,,,,,,,飞行,,,,攻击,,,,,,,,,受击,,,,,,,,,,,,,,,,,,,      ,,,,
2007,淬冰,1,10,0,8,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+537,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,146,WeaponEquiped=1;WeaponType&128,Level>=35;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+537;AttackRate+88,,,,,,,,,,,,,,8;9;19,,,,,
2008,淬冰,1,10,0,9,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+694,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,166,WeaponEquiped=1;WeaponType&128,Level>=40;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+694;AttackRate+98,,,,,,,,,,,,,,8;9;19,,,,,
2009,淬冰,1,10,0,10,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+795,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,186,WeaponEquiped=1;WeaponType&128,Level>=45;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+795;AttackRate+108,,,,,,,,,,,,,,8;9;19,,,,,
2010,淬冰,1,10,0,11,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+955,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,206,WeaponEquiped=1;WeaponType&128,Level>=50;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+955;AttackRate+118,,,,,,,,,,,,,,8;9;19,,,,,
2011,淬冰,1,10,0,12,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+1074,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,226,WeaponEquiped=1;WeaponType&128,Level>=55;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+1074;AttackRate+128,,,,,,,,,,,,,,8;9;19,,,,,
2012,淬冰,1,10,0,13,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+1198,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,246,WeaponEquiped=1;WeaponType&128,Level>=60;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+1198;AttackRate+138,,,,,,,,,,,,,,8;9;19,,,,,
2013,淬冰,1,10,0,14,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+1332,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,266,WeaponEquiped=1;WeaponType&128,Level>=65;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+1332;AttackRate+148,,,,,,,,,,,,,,8;9;19,,,,,
2014,淬冰,1,10,0,15,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+1470,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,286,WeaponEquiped=1;WeaponType&128,Level>=70;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+1470;AttackRate+158,,,,,,,,,,,,,,8;9;19,,,,,
2015,冰凌,2,10,0,1,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+116，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,46,WeaponEquiped=1;WeaponType&128,Level>=10;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+348;AttackRate+18,,,,,,,,,,,,,,11;19,,,,,
2016,冰凌,2,10,0,2,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+157，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,66,WeaponEquiped=1;WeaponType&128,Level>=15;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+471;AttackRate+28,,,,,,,,,,,,,,11;19,,,,,
2017,冰凌,2,10,0,3,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+214，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,86,WeaponEquiped=1;WeaponType&128,Level>=20;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+642;AttackRate+38,,,,,,,,,,,,,,11;19,,,,,
2018,冰凌,2,10,0,4,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+260，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,106,WeaponEquiped=1;WeaponType&128,Level>=25;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+780;AttackRate+48,,,,,,,,,,,,,,11;19,,,,,
2019,冰凌,2,10,0,5,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+331，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,126,WeaponEquiped=1;WeaponType&128,Level>=30;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+993;AttackRate+58,,,,,,,,,,,,,,11;19,,,,,
2020,冰凌,2,10,0,6,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+386，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,146,WeaponEquiped=1;WeaponType&128,Level>=35;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+1158;AttackRate+68,,,,,,,,,,,,,,11;19,,,,,
2021,冰凌,2,10,0,7,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+499，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,166,WeaponEquiped=1;WeaponType&128,Level>=40;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+1497;AttackRate+78,,,,,,,,,,,,,,11;19,,,,,
2022,冰凌,2,10,0,8,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+572，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,186,WeaponEquiped=1;WeaponType&128,Level>=45;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+1716;AttackRate+88,,,,,,,,,,,,,,11;19,,,,,
2023,冰凌,2,10,0,9,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+687，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,206,WeaponEquiped=1;WeaponType&128,Level>=50;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+2061;AttackRate+98,,,,,,,,,,,,,,11;19,,,,,
2024,冰凌,2,10,0,10,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+772，3次伤害,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">将太阴寒冰凝剑万千，凌风飞射攻于一点造成多次伤害。</FONT></P>",pic_skill_ssj_02,226,WeaponEquiped=1;WeaponType&128,Level>=55;Metier=3;NeedSP 10 3;,1,,,11,0,200,3,1500,10000,skill_j2,,shit,,,skill_j2,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit23,Bone100,,,WaterDm+2316;AttackRate+108,,,,,,,,,,,,,,11;19,,,,,
2025,霜雪冰天,3,10,0,1,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+199，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,86,WeaponEquiped=1;WeaponType&128,Level>=20;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+796;AttackRate+18,,,,,,,,,,,,,,10;19,,,,,
2026,霜雪冰天,3,10,0,2,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+202，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,106,WeaponEquiped=1;WeaponType&128,Level>=25;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+808;AttackRate+28,,,,,,,,,,,,,,10;19,,,,,
2027,霜雪冰天,3,10,0,3,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+219，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,126,WeaponEquiped=1;WeaponType&128,Level>=30;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+876;AttackRate+38,,,,,,,,,,,,,,10;19,,,,,
2028,霜雪冰天,3,10,0,4,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+224，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,146,WeaponEquiped=1;WeaponType&128,Level>=35;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+896;AttackRate+48,,,,,,,,,,,,,,10;19,,,,,
2029,霜雪冰天,3,10,0,5,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+289，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,166,WeaponEquiped=1;WeaponType&128,Level>=40;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+1156;AttackRate+58,,,,,,,,,,,,,,10;19,,,,,
2030,霜雪冰天,3,10,0,6,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+331，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,186,WeaponEquiped=1;WeaponType&128,Level>=45;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+1324;AttackRate+68,,,,,,,,,,,,,,10;19,,,,,
2031,霜雪冰天,3,10,0,7,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+398，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,206,WeaponEquiped=1;WeaponType&128,Level>=50;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+1592;AttackRate+78,,,,,,,,,,,,,,10;19,,,,,
2032,霜雪冰天,3,10,0,8,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+447，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,226,WeaponEquiped=1;WeaponType&128,Level>=55;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+1788;AttackRate+88,,,,,,,,,,,,,,10;19,,,,,
2033,霜雪冰天,3,10,0,9,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+499，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,246,WeaponEquiped=1;WeaponType&128,Level>=60;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+1996;AttackRate+98,,,,,,,,,,,,,,10;19,,,,,
2034,霜雪冰天,3,10,0,10,10,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+555，法宝水伤害*0.25,"<P><FONT color=""#88aadd"">作用目标：敌方群体</FONT></P><P><FONT color=""#88aadd"">功参造化引动天地，凝冰万里落雨成霜，攻击大量敌人。</FONT></P>",pic_skill_ssj_03,266,WeaponEquiped=1;WeaponType&128,Level>=65;Metier=3;NeedSP 10 14;,1,,,10,0,200,1,1350,2000,skill_j1,,shit,,,skill_j1,,,,,,0,0,,skill_bullet0,11,1,5,140,1,1,1,,0,skill_hit1,root,,,WaterDm+2220;AttackRate+108,,,,,,,,,,,,,,10;19,,,,,
2035,冰心清神,4,10,0,1,5,0,Metier=3;MetierLev>=0;Level>=1,,免疫技能封禁状态，持续10秒,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">静心凝气，收敛心神，可以使法术符箓信手拈来，不受拘束。</FONT></P>",pic_skill_ssj_04,126,WeaponEquiped=1,Level>=30;Metier=3;NeedSP 10 24;,1,,,0,0,200,1,1000,60000,skill_j6,,shit,,,skill_l4,,,,,,0,0,,,3,0,,,0,0,0,,0,,,,,,,AddEff 1,,,,,,,,,,,,,,1,,,
2036,冰心清神,4,10,0,2,5,0,Metier=3;MetierLev>=0;Level>=1,,免疫技能封禁状态，持续15秒,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">静心凝气，收敛心神，可以使法术符箓信手拈来，不受拘束。</FONT></P>",pic_skill_ssj_04,146,WeaponEquiped=1,Level>=35;Metier=3;NeedSP 10 24;,1,,,0,0,200,1,1000,60000,skill_j6,,shit,,,skill_l4,,,,,,0,0,,,3,0,,,0,0,0,,0,,,,,,,AddEff 2,,,,,,,,,,,,,,2,,,
2037,冰心清神,4,10,0,3,5,0,Metier=3;MetierLev>=0;Level>=1,,免疫技能封禁状态，持续20秒,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">静心凝气，收敛心神，可以使法术符箓信手拈来，不受拘束。</FONT></P>",pic_skill_ssj_04,166,WeaponEquiped=1,Level>=40;Metier=3;NeedSP 10 24;,1,,,0,0,200,1,1000,60000,skill_j6,,shit,,,skill_l4,,,,,,0,0,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3,,,,,,,,,,,,,,3,,,
2038,冰心清神,4,10,0,4,5,0,Metier=3;MetierLev>=0;Level>=1,,免疫技能封禁状态，持续25秒,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">静心凝气，收敛心神，可以使法术符箓信手拈来，不受拘束。</FONT></P>",pic_skill_ssj_04,186,WeaponEquiped=1,Level>=45;Metier=3;NeedSP 10 24;,1,,,0,0,200,1,1000,60000,skill_j6,,shit,,,skill_l4,,,,,,0,0,,,3,0,,,0,0,0,,0,,,,,,,AddEff 4,,,,,,,,,,,,,,4,,,
2039,冰心清神,4,10,0,5,5,0,Metier=3;MetierLev>=0;Level>=1,,免疫技能封禁状态，持续30秒,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">静心凝气，收敛心神，可以使法术符箓信手拈来，不受拘束。</FONT></P>",pic_skill_ssj_04,206,WeaponEquiped=1,Level>=50;Metier=3;NeedSP 10 24;,1,,,0,0,200,1,1000,60000,skill_j6,,shit,,,skill_l4,,,,,,0,0,,,3,0,,,0,0,0,,0,,,,,,,AddEff 5,,,,,,,,,,,,,,5,,,
