ID,合成类型,成品,名字,等级,技能等级,材料,材料数量,幸运石,说明,白色几率,绿色几率,蓝色几率,金色几率,失败几率,失败产品,强化概率,需求银币
31,1,31,九转旭日轮  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
41,1,41,蚕丝  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
42,1,42,迎风  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
43,1,43,柳秀  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
44,1,44,清泉  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
45,1,45,蛾眉  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
46,1,46,燕鸣  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
47,1,47,鹰毫  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
48,1,48,浮云  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
49,1,49,苍穹  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
50,1,50,星海  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
51,1,51,银河  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
61,1,61,凝元  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
62,1,62,两仪  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
63,1,63,青霜  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
64,1,64,风火  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
65,1,65,离弦  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
66,1,66,麋相  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
67,1,67,赤蛇  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
68,1,68,天泉  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
69,1,69,画影  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
70,1,70,云蝶  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
71,1,71,流星  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
81,1,81,裂甲  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
82,1,82,龙吟  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
83,1,83,炙阳  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
84,1,84,鹤鸣  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
85,1,85,天惊  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
86,1,86,巽雷  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
87,1,87,嗜魂魔斧  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
88,1,88,五阴魔血斧  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
89,1,89,翔龙火羽斧  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
90,1,90,无悔斧  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
91,1,91,盘古之斧  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
101,1,101,石杵  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
102,1,102,力擎  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
103,1,103,八封塔  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
104,1,104,五行阵  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
105,1,105,四大皆空  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
106,1,106,万宗朝佛  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
107,1,107,开山裂碑  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
108,1,108,猛虎降  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
109,1,109,盘龙升  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
110,1,110,镇魂舞  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
111,1,111,金刚杵  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
121,1,121,桃木杖  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
122,1,122,青龙木杖  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
123,1,123,黑檀木杖  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
124,1,124,幽冥杖  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
125,1,125,降妖杖  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
126,1,126,泉灵杖  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
127,1,127,云顶杖  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
128,1,128,五雷杖  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
129,1,129,摄魂杖  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
130,1,130,降魔杖  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
131,1,131,七彩灵芝  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
141,1,141,定元珠  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
142,1,142,安神珠  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
143,1,143,通灵珠  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
144,1,144,化妖珠  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
145,1,145,幻天珠  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
146,1,146,青云珠  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
147,1,147,九龙珠  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
148,1,148,玉炁珠  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
149,1,149,镇海珠  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
150,1,150,乾坤珠  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
151,1,151,无舍  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
1000,1,5208,铁剑  需要铸兵术：1级,1,1,7501;7001,2;1,,,1,0,0,0,0,,1;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,0
,,,,,,,,,,,,,,,,,
2001,4,2001,修行长袍  需要铸甲术：1级,1,1,7201;7601,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,37
2002,4,2002,粗布道袍  需要铸甲术：2级,5,2,7202;7602,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,75
2003,4,2003,锦缎长袍  需要铸甲术：3级,10,3,7203;7603,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,150
2004,4,2004,青雾袍  需要铸甲术：4级,15,4,7204;7604,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,450
2005,4,2005,五行袍  需要铸甲术：5级,20,5,7205;7605,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2006,4,2006,至尊袍  需要铸甲术：6级,25,6,7206;7606,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4500
2007,4,2007,穿云衣  需要铸甲术：7级,30,7,7207;7607,21;21,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,6000
2008,4,2008,妙意圣心袍  需要铸甲术：8级,35,8,7208;7608,24;24,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7500
2009,4,2009,炁源苍生衣  需要铸甲术：9级,40,9,7209;7609,27;27,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9000
2010,4,2010,天吾合一袍  需要铸甲术：10级,45,10,7210;7610,30;30,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,12000
2011,4,2011,乾坤纳怀衣  需要铸甲术：11级,50,11,7210;7610,30;30,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,18000
2021,4,2021,修行护手  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,15
2022,4,2022,粗布绑手  需要铸甲术：2级,5,2,7202;7602,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,30
2023,4,2023,锦缎护手  需要铸甲术：3级,10,3,7203;7603,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,60
2024,4,2024,青雾护手  需要铸甲术：4级,15,4,7204;7604,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
2025,4,2025,五行护手  需要铸甲术：5级,20,5,7205;7605,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1200
2026,4,2026,至尊护腕  需要铸甲术：6级,25,6,7206;7606,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1800
2027,4,2027,穿云护手  需要铸甲术：7级,30,7,7207;7607,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2400
2028,4,2028,妙意圣心护腕  需要铸甲术：8级,35,8,7208;7608,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2029,4,2029,炁源苍生护腕  需要铸甲术：9级,40,9,7209;7609,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3600
2030,4,2030,天吾合一护手  需要铸甲术：10级,45,10,7210;7610,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4800
2031,4,2031,乾坤纳怀护腕  需要铸甲术：11级,50,11,7210;7610,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7200
2041,4,2041,修行腰带  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,22
2042,4,2042,粗布腰带  需要铸甲术：2级,5,2,7202;7602,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,45
2043,4,2043,锦缎腰带  需要铸甲术：3级,10,3,7203;7603,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
